active,food,food id,cooked/raw ratio,shelf stable,shelf stable after opening,frozen,canned,plastic bag,package,unit,price,price confirmed,price/g,source,note on package,note
TRUE,うずら卵 水煮缶,1925,,TRUE,FALSE,FALSE,TRUE,,270,g,"¥1,361",TRUE,¥5.0,https://www.amazon.co.jp/SSK-%E3%82%A8%E3%82%B9%E3%82%A8%E3%82%B9%E3%82%B1%E3%83%BC-%E3%81%86%E3%81%9A%E3%82%89%E5%8D%B5%E6%B0%B4%E7%85%AE-EO%E3%83%BBSS2%E5%8F%B7%E7%BC%B6-45g%C3%976%E7%BC%B6/dp/B00JJC389K/,,
TRUE,canned chicken,1913,,TRUE,FALSE,FALSE,TRUE,,65,g,¥145,TRUE,¥2.2,,,
TRUE,canned chicken liver,1908,,TRUE,FALSE,FALSE,TRUE,,65,g,¥136,TRUE,¥2.1,,,
TRUE,サバ缶 水煮,1357,,TRUE,FALSE,FALSE,TRUE,,2160,g,"¥3,890",TRUE,¥1.8,http://amazon.co.jp/%E3%82%AD%E3%83%A7%E3%82%AF%E3%83%A8%E3%83%BC-%E3%81%95%E3%81%B0%E6%B0%B4%E7%85%AE-160G-%C3%9724%E5%80%8B/dp/B085SJX1KF,サバ本体は 90/160g (計量),
TRUE,サバ缶 水煮,1356,,TRUE,FALSE,FALSE,TRUE,,90,g,¥213,TRUE,¥2.4,,,
TRUE,canned sardine,1227,,TRUE,FALSE,FALSE,TRUE,,150,g,¥192,TRUE,¥1.3,,,
TRUE,タラ肝油,2025,,TRUE,TRUE,FALSE,,,500,ml,"¥5,768",TRUE,¥11.5,https://www.amazon.co.jp/Carlson-Norwegian-Liver-Lemon-Flavour/dp/B003B3P4PO/,,
TRUE,焼きあご,1412,,TRUE,TRUE,FALSE,,,500,g,"¥2,700",TRUE,¥5.4,https://www.amazon.co.jp/%E3%81%8A%E3%81%A4%E3%81%BE%E3%81%BF%E3%82%AE%E3%83%A3%E3%83%A9%E3%83%AA%E3%83%BC%E4%BC%8A%E4%B8%87%E9%87%8C-%E7%84%BC%E3%81%8D%E3%81%82%E3%81%94-%E6%A5%AD%E5%8B%99%E7%94%A8500%EF%BD%87/dp/B00NW45MPE/,,
TRUE,焼きあご,1412,,TRUE,TRUE,FALSE,,,200,g,"¥1,299",TRUE,¥6.5,https://www.amazon.co.jp/%E5%86%85%E9%87%8E%E6%B5%B7%E7%94%A3-%E5%91%B3%E4%BB%98%E3%81%91-%E7%84%BC%E3%81%82%E3%81%94-%EF%BC%9C%E3%81%8A%E5%BE%B3%E7%94%A8%EF%BC%9E%E3%81%9F%E3%81%A3%E3%81%B7%E3%82%8A%EF%BC%92%EF%BC%90%EF%BC%90%EF%BD%87%E5%85%A5%E3%82%8A/dp/B0084KKANA/,,
TRUE,あご 煮干し,1411,,TRUE,TRUE,FALSE,,,500,g,"¥2,754",TRUE,¥5.5,https://www.amazon.co.jp/%E3%81%82%E3%81%94%E3%81%A0%E3%81%97-%E7%85%AE%E5%B9%B2%E3%81%97%E7%B2%89-%E5%8D%83%E6%88%90%E5%95%86%E4%BC%9A-%E3%81%A4%E3%81%BE%E3%81%BF%E8%94%B5-250g%C3%972/dp/B09T2D99GM/,,
TRUE,カタクチイワシ 煮干し,1209,,TRUE,TRUE,FALSE,,,160,g,¥768,TRUE,¥4.8,,2200 mg per 100g,
TRUE,カタクチイワシ 田作り,1210,,TRUE,TRUE,FALSE,,,150,g,"¥1,495",TRUE,¥10.0,https://www.amazon.co.jp/%E3%82%B5%E3%82%AB%E3%83%A2%E3%83%88-%E3%81%9F%E3%81%A4%E3%81%8F%E3%82%8A-%E3%81%94%E3%81%BE%E3%82%81%EF%BC%89-50g%C3%973%E8%A2%8B-%E5%90%8D%E5%80%89%E5%95%86%E4%BA%8B/dp/B0BYKBJ7SX/,,
TRUE,まいわし 丸干し,1217,,FALSE,FALSE,TRUE,,,500,g,¥540,TRUE,¥1.1,https://nmaicha.jp/SHOP/FF021.html,冷凍,
TRUE,辛子明太子,1399,,FALSE,FALSE,TRUE,,,2000,g,"¥7,500",TRUE,¥3.8,https://www.amazon.co.jp/%E3%81%8B%E3%81%AD%E3%81%B5%E3%81%8F-%E6%98%8E%E5%A4%AA%E5%AD%90-%E5%A4%A7%E5%AE%B9%E9%87%8F%E6%98%8E%E5%A4%AA%E5%AD%90%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%EF%BD%9C%E8%BE%9B%E5%AD%90%E6%98%8E%E5%A4%AA%E5%AD%90-%E3%81%8A%E5%8F%96%E3%82%8A%E5%AF%84%E3%81%9B%E3%82%B0%E3%83%AB%E3%83%A1%E3%80%90%E5%85%AC%E5%BC%8F%E3%82%B9%E3%83%88%E3%82%A2%E3%80%91/dp/B0BZTTF66N/,,
TRUE,鰹節,1261,,TRUE,,FALSE,,,70,g,¥400,TRUE,¥5.7,,,
TRUE,さば節,1349,,TRUE,,FALSE,,,1000,g,"¥3,200",TRUE,¥3.2,https://www.amazon.co.jp/%E9%87%91%E8%99%8E-%E9%AF%96%E5%8E%9A%E5%89%8A%E3%82%8A-1kg/dp/B07G44SCKJ/,,
TRUE,鮭節,1318,,TRUE,,FALSE,,,120,g,"¥2,245",TRUE,¥18.7,https://www.amazon.co.jp/%E9%AE%AD%E7%AF%80%EF%BC%88%E3%81%95%E3%81%91%E3%81%B6%E3%81%97%EF%BC%89-%E6%89%8B%E7%81%AB%E5%B1%B1%E9%80%A0%E3%82%8A-%E3%80%8C%E8%8F%AF%E3%81%B5%E3%81%B6%E3%81%8D%E3%80%8D-60g-2%E8%A2%8B%E3%81%BE%E3%81%A8%E3%82%81%E8%B2%B7%E3%81%84/dp/B00KKYX1JI/,,
FALSE,干しオキアミ,,,TRUE,TRUE,FALSE,,,200,g,"¥1,680",TRUE,¥8.4,https://www.amazon.co.jp/%E5%B9%B2%E3%81%97%E3%81%88%E3%81%B3-100g%C3%972%E5%80%8B-%E7%84%99%E7%85%8E%E4%BB%95%E4%B8%8A%E3%81%92-%E3%82%A2%E3%83%9F%E3%82%A8%E3%83%93-%E5%B9%B2%E3%81%97%E3%82%A8%E3%83%93/dp/B0DBP4PMC7/?th=1,,
TRUE,干し小エビ (サルエビ),1547,,TRUE,TRUE,FALSE,,,54,g,¥842,TRUE,¥15.6,https://www.amazon.co.jp/%E3%83%A6%E3%82%A6%E3%82%AD%E9%A3%9F%E5%93%81-%E3%83%A6%E3%82%A6%E3%82%AD-%E5%B9%B2%E3%81%97%E3%81%88%E3%81%B3-54g/dp/B075GF59R8/,,
,,,,,,,,,,,,,,,,
TRUE,干しさくらえび,1540,,TRUE,TRUE,FALSE,,,100,g,"¥2,380",TRUE,¥23.8,https://www.amazon.co.jp/%E7%B4%A0%E5%B9%B2%E3%81%97%E6%A1%9C%E3%81%88%E3%81%B3-%E5%B9%B2%E3%81%97%E3%82%A8%E3%83%93-100g-%E5%B9%B2%E3%81%97%E3%81%88%E3%81%B3-%E4%B9%BE%E7%87%A5%E3%82%A8%E3%83%93/dp/B0B4V2JZGZ/?th=1,,
TRUE,するめ,1574,,TRUE,TRUE,FALSE,,,300,g,"¥3,780",TRUE,¥12.6,https://www.amazon.co.jp/%E3%82%B9%E3%83%AB%E3%83%A1%E3%82%A4%E3%82%AB-%E5%B1%B1%E7%9B%9B%E3%82%8A%E3%81%99%E3%82%8B%E3%82%81-20%E6%9E%9A%E5%89%8D%E5%BE%8C-%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E4%BB%98%E3%81%8D%E8%A2%8B%E5%85%A5%E3%82%8A-1%E6%9E%9A%E5%BD%93%E3%81%9F%E3%82%8A25g%E5%89%8D%E5%BE%8C/dp/B0BBZS2T76/,,
TRUE,豚ゼラチン,1855,,TRUE,,FALSE,,,1000,g,"¥5,000",TRUE,¥5.0,https://www.amazon.co.jp/%E8%B1%9A%E3%82%BC%E3%83%A9%E3%83%81%E3%83%B3250-%E3%83%91%E3%82%A6%E3%83%80%E3%83%BC-Unicook-%E3%80%90%E9%80%8F%E6%98%8E%E6%80%A7%E3%81%8C%E8%89%AF%E3%81%8F%E3%82%BC%E3%83%A9%E3%83%81%E3%83%B3%E8%87%AD%E3%81%8C%E5%B0%91%E3%81%AA%E3%81%84%E3%80%91-%E9%AB%98%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%89%E3%81%AA%E8%B1%9A%E7%94%B1%E6%9D%A5/dp/B07S8TLXDS/,,
TRUE,豚ゼラチン,1855,,TRUE,,FALSE,,,450,g,"¥2,500",TRUE,¥5.6,https://www.amazon.co.jp/%E3%82%BC%E3%83%AA%E3%82%A8%E3%83%BC%E3%82%B9-%E9%87%8E%E6%B4%B2%E5%8C%96%E5%AD%A6%E5%B7%A5%E6%A5%AD-%E9%A1%86%E7%B2%92%E3%82%BC%E3%83%A9%E3%83%81%E3%83%B3P-160-450g/dp/B003Q4DB3U/,,
TRUE,豚レバーペースト,1853,,TRUE,,FALSE,,,1500,g,"¥4,387",TRUE,¥2.9,https://www.amazon.co.jp/%E3%83%B4%E3%82%A7%E3%83%83%E3%83%88%E3%83%8B%E3%82%A2%E3%83%BB%E3%83%A2%E3%83%B3%E3%82%BF%E3%83%8D%E3%82%A2-%E3%82%A4%E3%83%99%E3%83%AA%E3%82%B3%E8%B1%9A-%E3%83%AC%E3%83%90%E3%83%BC%E3%83%91%E3%83%86-125g-x12%E5%80%8B/dp/B09SKXL224/,,
TRUE,pork (random),,,FALSE,FALSE,FALSE,,,100,g,¥102,TRUE,¥1.0,https://www.amazon.co.jp/%E3%83%A9%E3%82%A4%E3%83%95%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3-%E2%97%8F%E3%80%90%E9%87%8F%E3%82%8A%E5%A3%B2%E3%82%8A%E5%95%86%E5%93%81%E3%80%91%E7%B1%B3%E5%9B%BD%E7%94%A3-%E8%B1%9A%E8%82%89%E3%81%93%E3%81%BE%E5%88%87%E3%82%8C%E7%B4%84780g-663g-896g-%E2%97%8F/dp/B07V4D7RMT/,,
TRUE,pork leg,,,FALSE,FALSE,FALSE,,,100,g,¥170,TRUE,¥1.7,https://www.amazon.co.jp/%E3%83%A9%E3%82%A4%E3%83%95%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3-%E3%80%90%E9%87%8F%E3%82%8A%E5%A3%B2%E3%82%8A%E5%95%86%E5%93%81%E3%80%91%E5%9B%BD%E5%86%85%E7%94%A3-%E8%B1%9A%E8%82%89%E3%83%A2%E3%83%A2%E3%83%96%E3%83%AD%E3%83%83%E3%82%AF%E7%B4%84280g-1%E6%9C%AC-238g-322g/dp/B0CZDVK3H7/,,
TRUE,ドライソーセージ カルパス,1845,,TRUE,TRUE,FALSE,,,500,g,"¥1,200",TRUE,¥2.4,https://www.amazon.co.jp/%E5%A4%A9%E7%84%B6%E7%94%9F%E6%B4%BB-%E3%82%B8%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%BC%E3%82%AB%E3%83%AB%E3%83%91%E3%82%B9-500g-%E3%81%8A%E3%81%A4%E3%81%BE%E3%81%BF-%E3%83%89%E3%83%A9%E3%82%A4%E3%82%BD%E3%83%BC%E3%82%BB%E3%83%BC%E3%82%B8/dp/B093GQMSZH/,,
TRUE,コンビーフ,1749,,TRUE,FALSE,FALSE,,,320,g,"¥1,700",TRUE,¥5.3,https://www.amazon.co.jp/%E5%B7%9D%E5%95%86%E3%83%95%E3%83%BC%E3%82%BA-%E3%83%8E%E3%82%B6%E3%82%AD-%E3%82%B3%E3%83%B3%E3%83%93%E3%83%BC%E3%83%95-80g-%C3%974%E5%80%8B/dp/B0895WWLXD/,,
TRUE,ビーフジャーキー,1751,,TRUE,FALSE,FALSE,,,250,g,"¥2,499",TRUE,¥10.0,https://www.amazon.co.jp/%E3%83%93%E3%83%BC%E3%83%95%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AD%E3%83%BC-250g-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%82%A2%E3%83%B3%E3%82%AC%E3%82%B9%E7%89%9B%E4%BD%BF%E7%94%A8-%E3%81%8A%E3%81%A4%E3%81%BE%E3%81%BF-%E6%A5%AD%E5%8B%99%E7%94%A8/dp/B098Q6LD6D/,,
TRUE,ビーフジャーキー,1751,,TRUE,FALSE,FALSE,,,150,g,"¥2,160",TRUE,¥14.4,https://www.amazon.co.jp/%E3%83%86%E3%83%B3%E3%82%B0-%E3%83%93%E3%83%BC%E3%83%95%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AD%E3%83%BC-%E3%83%9F%E3%83%87%E3%82%A3%E3%82%A2%E3%83%A0%E3%83%81%E3%83%A3%E3%83%B3%E3%82%AF-%E3%83%AC%E3%82%AE%E3%83%A5%E3%83%A9%E3%83%BC150g/dp/B0B1PVBFT3/,,
TRUE,cheap meat,,,FALSE,FALSE,FALSE,,,200,g,¥200,TRUE,¥1.0,,,
TRUE,ラード,2026,,TRUE,TRUE,FALSE,,,1800,g,"¥2,574",TRUE,¥1.4,https://www.amazon.co.jp/%E3%80%90%E5%91%B3%E3%81%AELDK%E3%80%91-%E7%B4%94%E6%AD%A3%E3%83%A9%E3%83%BC%E3%83%89-%C3%972%E5%80%8B%E3%82%BB%E3%83%83%E3%83%88-%E3%81%8A%E3%81%BE%E3%81%91%E4%BB%98%E3%81%8D-%EF%BC%88%E4%B8%AD%E8%8F%AF%E3%82%B9%E3%83%BC%E3%83%97%EF%BC%89/dp/B0DFTDQ8BX/,,
TRUE,アサリ水煮缶,1493,,TRUE,FALSE,FALSE,TRUE,,65,g,¥191,TRUE,¥2.9,,,
TRUE,牡蠣燻製油漬け缶,1507,,TRUE,FALSE,FALSE,TRUE,,140,g,"¥1,706",TRUE,¥12.2,https://www.amazon.co.jp/%E6%98%8E%E6%B2%BB%E5%B1%8B-%E3%81%8A%E3%81%84%E3%81%97%E3%81%84%E7%BC%B6%E8%A9%B0-%E5%BA%83%E5%B3%B6%E7%9C%8C%E7%94%A3%E3%81%8B%E3%81%8D%E7%87%BB%E8%A3%BD%E6%B2%B9%E6%BC%AC-70g%C3%972%E5%80%8B/dp/B00J7JTZ8I/,,
TRUE,かつお塩辛,1265,,TRUE,,FALSE,,,1320,g,"¥3,103",TRUE,¥2.4,https://www.amazon.co.jp/%E6%A1%83%E5%B1%8B-%E3%81%8B%E3%81%A4%E3%81%8A%E5%A1%A9%E8%BE%9B-110g%C3%9712%E5%80%8B/dp/B007H38Y8S/,,
TRUE,いか塩辛,1579,,TRUE,,FALSE,,,110,g,¥496,TRUE,¥4.5,https://www.amazon.co.jp/%E6%A1%83%E5%B1%8B-%E3%81%84%E3%81%8B%E5%A1%A9%E8%BE%9B-110g/dp/B002B4EIUQ/,,
TRUE,"shellfish, shrimps",,,,,,,,,,,,#DIV/0!,,,
TRUE,牛乳,1947,,FALSE,FALSE,FALSE,,,1000,ml,¥220,TRUE,¥0.2,,,
TRUE,脱脂粉乳,1955,,TRUE,TRUE,FALSE,,TRUE,1000,g,"¥1,909",TRUE,¥1.9,https://www.amazon.co.jp/%E5%8C%97%E6%B5%B7%E9%81%93%E7%94%9F%E4%B9%B3100%EF%BC%85-%E3%82%B9%E3%82%AD%E3%83%A0%E3%83%9F%E3%83%AB%E3%82%AF-%E8%84%B1%E8%84%82%E7%B2%89%E4%B9%B3-%E6%A5%AD%E5%8B%99%E7%94%A8-%E5%A4%A7%E5%AE%B9%E9%87%8F/dp/B09FLGFDR9/,34% protein,
TRUE,全粉乳,1954,,TRUE,TRUE,FALSE,,,1400,g,"¥3,480",TRUE,¥2.5,https://www.amazon.co.jp/%E3%83%9E%E3%83%9E%E3%83%91%E3%83%B3-%E3%80%90%E3%81%BE%E3%81%A8%E3%82%81%E8%B2%B7%E3%81%84%E3%80%91%E5%8C%97%E6%B5%B7%E9%81%93%E5%85%A8%E7%B2%89%E4%B9%B3-%E3%82%88%E3%81%A4%E8%91%89-700g%C3%972%EF%BC%881-4kg%EF%BC%89-%E3%82%88%E3%81%A4%E3%81%B0/dp/B094CYJ7TS/,,
TRUE,protein powder,,,TRUE,TRUE,FALSE,,,1000,g,"¥4,700",TRUE,¥4.7,,30g of pwder = 20g of protein,
TRUE,パルメザンチーズ 粉,1985,,TRUE,TRUE,FALSE,,,2000,g,"¥5,270",TRUE,¥2.6,https://www.amazon.co.jp/KRAFT-%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88-%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88-100%EF%BC%85%E3%83%91%E3%83%AB%E3%83%A1%E3%82%B6%E3%83%B3%E3%83%81%E3%83%BC%E3%82%BA-%E7%B2%89%E3%83%81%E3%83%BC%E3%82%BA-2Kg-%E4%B8%A6%E8%A1%8C%E8%BC%B8%E5%85%A5/dp/B001C5Z23M/?th=1,,
TRUE,パルメザンチーズ 粉,1985,,FALSE,FALSE,FALSE,,,1000,g,"¥2,880",TRUE,¥2.9,https://www.amazon.co.jp/%E4%B8%89%E7%A5%90-%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A9%E3%83%B3%E3%83%89%E7%94%A3-%E3%83%91%E3%83%AB%E3%83%A1%E3%82%B6%E3%83%B3%E3%83%91%E3%82%A6%E3%83%80%E3%83%BC%EF%BC%88%E7%B2%89%EF%BC%89%EF%BC%91%EF%BD%8B%EF%BD%87/dp/B01N7BWU5G,,
TRUE,パルメザンチーズ,1985,,TRUE,TRUE,FALSE,,,240,g,"¥1,711",TRUE,¥7.1,https://www.amazon.co.jp/%E6%98%8E%E6%B2%BB-%E5%8C%97%E6%B5%B7%E9%81%93%E5%8D%81%E5%8B%9D-%E3%83%91%E3%83%AB%E3%83%A1%E3%82%B6%E3%83%B3%E3%83%81%E3%83%BC%E3%82%BA-%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%81%E3%83%BC%E3%82%BA-80g%C3%973%E5%80%8B/dp/B0B7XRYSW2/,,
TRUE,パルメザンチーズ,1985,,TRUE,TRUE,FALSE,,,227,g,"¥1,612",TRUE,¥7.1,https://www.amazon.co.jp/%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88-%E3%83%91%E3%83%AB%E3%83%A1%E3%82%B6%E3%83%B3%E3%83%81%E3%83%BC%E3%82%BA-%E3%83%91%E3%83%AB%E3%83%A1%E3%82%B6%E3%83%B3-%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%81%E3%83%BC%E3%82%BA-Kraft/dp/B0F43V9L9Z/,,
TRUE,モッツァレラチーズ,1988,,FALSE,FALSE,TRUE,,,1000,g,"¥3,980",TRUE,¥4.0,https://www.amazon.co.jp/%E8%8A%B1%E7%95%91%E7%89%A7%E5%A0%B4-60%CF%86-%E3%83%A1%E3%83%80%E3%83%AB%E3%83%A2%E3%83%83%E3%83%84%E3%82%A1%E3%83%AC%E3%83%A9-1kg-%E6%A5%AD%E5%8B%99%E7%94%A8/dp/B00SH1VTEU/?th=1,,
TRUE,チェダーチーズ,1984,,FALSE,FALSE,FALSE,,,1000,g,"¥3,316",TRUE,¥3.3,https://www.amazon.co.jp/%E4%B8%89%E7%A5%90-%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E7%94%A3-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%81%E3%82%A7%E3%83%80%E3%83%BC%E3%83%81%E3%83%BC%E3%82%BA-%EF%BC%91%EF%BD%8B%EF%BD%87%E3%82%AB%E3%83%83%E3%83%88/dp/B01N47N9P5/,,
