category,food_id,id,name,WATER,FORAC,ACEAC,GLYCLAC,LACAC,GLUCAC,OXALAC,MOLAC,SUCAC,FUMAC,MALAC,TARAC,GLUAKAC,CITAC,SALAC,PCHOUAC,CAFFAC,FERAC,CHLRAC,QUINAC,OROTAC,PYROGAC,PROPAC,OA,
02,02067,0244,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,64.2,-,-,-,-,-,Tr,-,0,-,0.2,-,-,0.4,-,-,-,-,-,0,-,-,-,0.6,
02,02021,0246,＜いも類＞　じゃがいも　乾燥マッシュポテト,7.5,-,-,-,-,0,0.1,-,0,0,0.3,-,-,1.1,-,-,-,-,-,Tr,-,-,-,1.5,
02,02022,0249,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,71.1,-,-,-,-,-,Tr,-,0,-,0.1,-,-,0.5,-,-,-,-,-,-,-,-,-,0.7,
02,02026,0253,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,68.8,-,-,-,-,-,Tr,-,0,-,0.1,-,-,0.3,-,-,-,-,-,-,-,-,-,0.4,
02,02027,0254,＜いも類＞　（やまのいも類）　だいじょ　塊根　生,71.2,-,-,-,-,-,0,-,0,-,0.2,-,-,0.4,-,-,-,-,-,-,-,-,-,0.5,
02,02070,0255,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,16.2,-,-,0,-,-,0,-,0,-,0,-,-,0,-,-,-,-,-,-,-,-,-,0,
03,03031,0291,（でん粉糖類）　還元麦芽糖,0,-,-,0,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,0,
03,03032,0292,（でん粉糖類）　還元水あめ,30.1,-,-,0,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,0,
03,03022,0304,（その他）　はちみつ,17.6,-,-,-,-,0.3,-,-,-,-,Tr,-,0,0,-,-,-,-,-,-,-,-,-,0.3,
03,03033,0304-1,（その他）　はちみつ　国産品　,18.1,-,-,-,-,0.3,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.3,
04,04001,0306,あずき　全粒　乾,14.2,-,-,-,-,-,Tr,-,-,-,0.1,-,-,1.1,-,-,-,-,-,-,-,-,-,1.2,
04,04002,0307,あずき　全粒　ゆで,63.9,-,-,-,-,-,0,-,-,-,Tr,-,-,0.3,-,-,-,-,-,-,-,-,-,0.3,
04,04111,0313-1,あずき　あん　つぶし生あん,65.8,-,-,-,-,-,Tr,-,0,-,0,-,-,0.1,-,-,-,-,-,0,-,-,-,0.1,
04,04112,0326-1,えんどう　うぐいすあん,38.5,-,-,-,-,-,0,-,-,-,0,-,-,Tr,-,-,-,-,-,-,-,-,-,Tr,
04,04104,0334,だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,12.5,-,-,0,-,-,Tr,-,-,-,0.1,-,-,1.5,-,-,-,-,-,-,-,-,-,1.6,
04,04105,0335,だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,65.5,-,-,-,-,-,Tr,-,-,-,Tr,-,-,0.3,-,-,-,-,-,-,-,-,-,0.3,"
"
04,04023,0336,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,12.4,-,-,-,-,-,0.1,-,-,-,0.1,-,-,1.5,-,-,-,-,-,-,-,-,-,1.7,
04,04024,0337,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,65.4,-,-,-,-,-,Tr,-,-,-,Tr,-,-,0.3,-,-,-,-,-,-,-,-,-,0.4,
04,04077,0341,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,12.7,-,-,0,-,-,0.1,-,-,-,0.1,-,-,1.5,-,-,-,-,-,-,-,-,-,1.6,
