category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01019,0020,こむぎ　［小麦粉］　中力粉　2等,14.0,0.9,1.2,2.1,-,-,-,-,-,
01,01020,0021,こむぎ　［小麦粉］　強力粉　1等,14.5,1.2,1.5,2.7,-,-,-,-,-,
01,01021,0022,こむぎ　［小麦粉］　強力粉　2等,14.5,0.9,1.2,2.1,-,-,-,-,-,
01,01023,0023,こむぎ　［小麦粉］　強力粉　全粒粉,14.5,1.5,9.7,11.2,-,-,-,-,-,
01,01146,0024,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,9.8,1.7,1.1,2.8,-,-,-,-,-,
01,01024,0025,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,11.1,0.9,1.0,1.8,-,-,-,-,-,
01,01147,0026,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,8.3,1.4,1.2,2.6,-,-,-,-,-,
01,01025,0027,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,12.4,1.5,1.0,2.5,-,-,-,-,-,
01,01171,0028,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,65.5,0.6,0.4,1.0,0.7,0.7,0.5,0.3,1.9,
01,01172,0029,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,10.2,-,-,-,1.5,0.6,1.2,0.3,3.3,
01,01026,0030,こむぎ　［パン類］　角形食パン　食パン,39.2,0.4,1.9,2.2,1.0,0.9,2.3,1.1,4.2,
