ID,Species,Name,CC,Age,Lat,Long
644,H. sapiens,"Columnata, Algeria",1351,0.0055,35.66666667,1.95
643,H. sapiens,"Columnata, Algeria",1426,0.0055,35.66666667,1.95
642,H. sapiens,"Columnata, Algeria",1498,0.0055,35.66666667,1.95
640,H. sapiens,"Hutton, Somerset",1415,0.005,51.32193056,-2.926988889
639,H. sapiens,Asselar,1520,0.005,19.11666667,1.75
638,H. sapiens,Urtiaga A,1510,0.0035,43.276,-2.33
637,H. sapiens,Urtiaga B,1579,0.0035,43.276,-2.33
636,H. sapiens,Sauveterre,1769,0.0034,44.58944444,1.014722222
634,H. sapiens,Danes' Graves 1,1325,0.00225,54.0555,-0.446203
635,H. sapiens,Danes' Graves 7,1325,0.00225,54.0555,-0.446203
632,H. sapiens,"Glastonbury, Somerset",1468,0.002,51.1475,-2.7175
633,H. sapiens,"Langwith, Derbyshire",1250,0.002,53.2167,-1.23333
631,H. sapiens,Elmenteita B,1585,0.002,-0.446,36.244
630,H. sapiens,Loulan LT 03,1230,0.00175,40.52763333,89.84064444
629,H. sapiens,Loulan,1265,0.00175,40.52763333,89.84064444
621,H. sapiens,Bambandyanalo,1565.1,0.00106,-22.1925,29.23888889
627,H. sapiens,Bambandyanalo,1280,0.00106,-22.1925,29.23888889
626,H. sapiens,Bambandyanalo,1316.8,0.00106,-22.1925,29.23888889
625,H. sapiens,Bambandyanalo,1341.6,0.00106,-22.1925,29.23888889
624,H. sapiens,Bambandyanalo,1384.5,0.00106,-22.1925,29.23888889
623,H. sapiens,Bambandyanalo,1402.7,0.00106,-22.1925,29.23888889
622,H. sapiens,Bambandyanalo,1563,0.00106,-22.1925,29.23888889
611,H. sapiens,Pecos,1285,0.001,35.55,-105.689444
593,H. sapiens,Pecos,1500,0.001,35.55,-105.689444
619,H. sapiens,Pecos,1100,0.001,35.55,-105.689444
618,H. sapiens,Pecos,1120,0.001,35.55,-105.689444
617,H. sapiens,Pecos,1140,0.001,35.55,-105.689444
616,H. sapiens,Pecos,1155,0.001,35.55,-105.689444
615,H. sapiens,Pecos,1178,0.001,35.55,-105.689444
614,H. sapiens,Pecos,1190,0.001,35.55,-105.689444
613,H. sapiens,Pecos,1270,0.001,35.55,-105.689444
612,H. sapiens,Pecos,1275,0.001,35.55,-105.689444
591,H. sapiens,Mupungubue,1591,0.001,-22.1925,29.23888889
