category,food_id,id,name
04,04062,0398,だいず　［その他］　ひしおみそ
04,04063,0399,だいず　［その他］　テンペ
04,04064,0400,つるあずき　全粒　乾
04,04092,0401,つるあずき　全粒　ゆで
04,04065,0402,ひよこまめ　全粒　乾
04,04066,0403,ひよこまめ　全粒　ゆで
04,04067,0404,ひよこまめ　全粒　フライ　味付け
04,04068,0405,べにばないんげん　全粒　乾
04,04069,0406,べにばないんげん　全粒　ゆで
04,04108,0407,やぶまめ　乾
04,04070,0408,らいまめ　全粒　乾
04,04093,0409,らいまめ　全粒　ゆで
04,04071,0410,りょくとう　全粒　乾
04,04072,0411,りょくとう　全粒　ゆで
04,04073,0412,レンズまめ　全粒　乾
04,04094,0413,レンズまめ　全粒　ゆで
