category,food_id,id,name
10,10001,1159,＜魚類＞　あいなめ　生
10,10002,1160,＜魚類＞　あこうだい　生
10,10003,1161,＜魚類＞　（あじ類）　まあじ　皮つき　生
10,10389,1162,＜魚類＞　（あじ類）　まあじ　皮なし　生
10,10004,1163,＜魚類＞　（あじ類）　まあじ　皮つき　水煮
10,10005,1164,＜魚類＞　（あじ類）　まあじ　皮つき　焼き
10,10390,1165,＜魚類＞　（あじ類）　まあじ　皮つき　フライ
10,10006,1166,＜魚類＞　（あじ類）　まあじ　開き干し　生
10,10007,1167,＜魚類＞　（あじ類）　まあじ　開き干し　焼き
10,10391,1168,＜魚類＞　（あじ類）　まあじ　小型　骨付き　生
10,10392,1169,＜魚類＞　（あじ類）　まあじ　小型　骨付き　から揚げ
10,10393,1170,＜魚類＞　（あじ類）　まるあじ　生
10,10394,1171,＜魚類＞　（あじ類）　まるあじ　焼き
10,10008,1172,＜魚類＞　（あじ類）　にしまあじ　生
10,10009,1173,＜魚類＞　（あじ類）　にしまあじ　水煮
10,10010,1174,＜魚類＞　（あじ類）　にしまあじ　焼き
10,10457,1174-1,＜魚類＞　（あじ類）　にしまあじ　開き干し　生
10,10458,1174-2,＜魚類＞　（あじ類）　にしまあじ　開き干し　焼き
10,10011,1175,＜魚類＞　（あじ類）　むろあじ　生
10,10012,1176,＜魚類＞　（あじ類）　むろあじ　焼き
10,10013,1177,＜魚類＞　（あじ類）　むろあじ　開き干し
10,10014,1178,＜魚類＞　（あじ類）　むろあじ　くさや
10,10015,1179,＜魚類＞　あなご　生
10,10016,1180,＜魚類＞　あなご　蒸し
10,10017,1181,＜魚類＞　あまご　養殖　生
10,10018,1182,＜魚類＞　あまだい　生
10,10019,1183,＜魚類＞　あまだい　水煮
10,10020,1184,＜魚類＞　あまだい　焼き
10,10021,1185,＜魚類＞　あゆ　天然　生
10,10022,1186,＜魚類＞　あゆ　天然　焼き
10,10023,1187,＜魚類＞　あゆ　天然　内臓　生
10,10024,1188,＜魚類＞　あゆ　天然　内臓　焼き
10,10025,1189,＜魚類＞　あゆ　養殖　生
10,10026,1190,＜魚類＞　あゆ　養殖　焼き
10,10027,1191,＜魚類＞　あゆ　養殖　内臓　生
10,10028,1192,＜魚類＞　あゆ　養殖　内臓　焼き
10,10029,1193,＜魚類＞　あゆ　うるか
10,10030,1194,＜魚類＞　アラスカめぬけ　生
10,10031,1195,＜魚類＞　あんこう　生
10,10032,1196,＜魚類＞　あんこう　きも　生
10,10033,1197,＜魚類＞　いかなご　生
10,10034,1198,＜魚類＞　いかなご　煮干し
10,10035,1199,＜魚類＞　いかなご　つくだ煮
10,10036,1200,＜魚類＞　いかなご　あめ煮
10,10037,1201,＜魚類＞　いさき　生
10,10038,1202,＜魚類＞　いしだい　生
10,10039,1203,＜魚類＞　いとよりだい　生
10,10040,1204,＜魚類＞　いとよりだい　すり身
10,10041,1205,＜魚類＞　いぼだい　生
10,10042,1206,＜魚類＞　（いわし類）　うるめいわし　生
10,10043,1207,＜魚類＞　（いわし類）　うるめいわし　丸干し
10,10044,1208,＜魚類＞　（いわし類）　かたくちいわし　生
10,10045,1209,＜魚類＞　（いわし類）　かたくちいわし　煮干し
10,10046,1210,＜魚類＞　（いわし類）　かたくちいわし　田作り
10,10047,1211,＜魚類＞　（いわし類）　まいわし　生
10,10048,1212,＜魚類＞　（いわし類）　まいわし　水煮
10,10049,1213,＜魚類＞　（いわし類）　まいわし　焼き
10,10395,1214,＜魚類＞　（いわし類）　まいわし　フライ
10,10050,1215,＜魚類＞　（いわし類）　まいわし　塩いわし
10,10051,1216,＜魚類＞　（いわし類）　まいわし　生干し
10,10052,1217,＜魚類＞　（いわし類）　まいわし　丸干し
10,10053,1218,＜魚類＞　（いわし類）　めざし　生
10,10054,1219,＜魚類＞　（いわし類）　めざし　焼き
10,10396,1220,＜魚類＞　（いわし類）　しらす　生
10,10445,1221,＜魚類＞　（いわし類）　しらす　釜揚げしらす
10,10055,1222,＜魚類＞　（いわし類）　しらす干し　微乾燥品
10,10056,1223,＜魚類＞　（いわし類）　しらす干し　半乾燥品
10,10057,1224,＜魚類＞　（いわし類）　たたみいわし
10,10058,1225,＜魚類＞　（いわし類）　みりん干し　かたくちいわし
10,10059,1226,＜魚類＞　（いわし類）　みりん干し　まいわし
10,10060,1227,＜魚類＞　（いわし類）　缶詰　水煮
10,10061,1228,＜魚類＞　（いわし類）　缶詰　味付け
10,10062,1229,＜魚類＞　（いわし類）　缶詰　トマト漬
10,10063,1230,＜魚類＞　（いわし類）　缶詰　油漬
10,10064,1231,＜魚類＞　（いわし類）　缶詰　かば焼
10,10397,1232,＜魚類＞　（いわし類）　缶詰　アンチョビ
10,10065,1233,＜魚類＞　いわな　養殖　生
10,10066,1234,＜魚類＞　うぐい　生
10,10067,1235,＜魚類＞　うなぎ　養殖　生
10,10068,1236,＜魚類＞　うなぎ　きも　生
10,10069,1237,＜魚類＞　うなぎ　白焼き
10,10070,1238,＜魚類＞　うなぎ　かば焼
10,10071,1239,＜魚類＞　うまづらはぎ　生
10,10072,1240,＜魚類＞　うまづらはぎ　味付け開き干し
10,10073,1241,＜魚類＞　えい　生
10,10074,1242,＜魚類＞　えそ　生
10,10075,1243,＜魚類＞　おいかわ　生
10,10076,1244,＜魚類＞　おおさが　生
10,10077,1245,＜魚類＞　おこぜ　生
10,10078,1246,＜魚類＞　おひょう　生
10,10079,1247,＜魚類＞　かさご　生
