hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
he,he,ho,ㄏㄜ,4211.02,FALSE,,,,,
hei,hei,hei,ㄏㄟ,210.42,FALSE,,,,,
hen,hen,hen,ㄏㄣ,656.63,FALSE,,,,,
heng,heng,heng,ㄏㄥ,235.07,FALSE,,,,,
hng,,,ㄏㄫ,,TRUE,,,,https://en.wiktionary.org/w/index.php?title=%E5%93%BC&oldid=87590307#Pronunciation_2,
hong,hong,hung,ㄏㄨㄥ,740.6,FALSE,,,,,
hou,hou,hou,ㄏㄡ,2339.8,FALSE,,,,,
hu,hu,hu,ㄏㄨ,3015.18,FALSE,,,,,
hua,hua,hua,ㄏㄨㄚ,6820.85,FALSE,,,,,
huai,huai,huai,ㄏㄨㄞ,266.45,FALSE,,,,,
huan,huan,huan,ㄏㄨㄢ,2098.06,FALSE,,,,,
huang,huang,huang,ㄏㄨㄤ,750.47,FALSE,,,,,
hui,huei,hui,ㄏㄨㄟ,10041.91,FALSE,,,,,
hun,hun,hun,ㄏㄨㄣ,319.5,FALSE,,,,,
huo,huo,huo,ㄏㄨㄛ,5396.5,FALSE,,,,,
ji,ji,chi,ㄐㄧ,22840.51,FALSE,,,,,
jia,jia,chia,ㄐㄧㄚ,6250.78,FALSE,,,,,
jian,jian,chien,ㄐㄧㄢ,9647.9,FALSE,,,,,
jiang,jiang,chiang,ㄐㄧㄤ,2561.36,FALSE,,,,,
jiao,jiao,chiao,ㄐㄧㄠ,6691.18,FALSE,,,,,
jie,jie,chieh,ㄐㄧㄝ,7783.01,FALSE,,,,,
jin,jin,chin,ㄐㄧㄣ,5874.93,FALSE,,,,,
jing,jing,ching,ㄐㄧㄥ,5604.26,FALSE,,,,,
jiong,jyong,chiung,ㄐㄩㄥ,29.36,TRUE,,,,https://en.wiktionary.org/w/index.php?title=%E7%AA%98&oldid=83516929#Pronunciation,
jiu,jiou,chiu,ㄐㄧㄡ,4910.11,FALSE,,,,,
ju,jyu,chü,ㄐㄩ,3807.36,FALSE,,,,,
juan,juan,chüan,ㄐㄩㄢ,435.92,FALSE,,,,,
jue,jue,chüeh,ㄐㄩㄝ,1334.81,FALSE,,,,,
jun,jun,chün,ㄐㄩㄣ,1047.28,FALSE,,,,,
ka,ka,kʽa,ㄎㄚ,690.72,FALSE,,,,,
kai,kai,kʽai,ㄎㄞ,1946.7,FALSE,,,,,
kan,kan,kʽan,ㄎㄢ,1857.01,FALSE,,,,,
kang,kang,kʽang,ㄎㄤ,605.73,FALSE,,,,,
kao,kao,kʽao,ㄎㄠ,953.87,FALSE,,,,,
kiu,,,,,TRUE,TRUE,,,https://en.wiktionary.org/w/index.php?title=Q&oldid=88726601#Etymology_1_2,
ke,ke,kʽo,ㄎㄜ,7515.69,FALSE,,,,,
kei,kei,,ㄎㄟ,0,TRUE,,,,https://en.wiktionary.org/w/index.php?title=%E5%89%8B&oldid=82700118#Pronunciation_2,
ken,ken,kʽen,ㄎㄣ,130.62,FALSE,,,,,
keng,keng,kʽeng,ㄎㄥ,41.03,FALSE,,,,,
kong,kong,kʽung,ㄎㄨㄥ,1198.23,FALSE,,,,,
kiang,,,ㄎㄧㄤ,,TRUE,TRUE,TRUE,Taiwanese Mandarin,https://en.wiktionary.org/w/index.php?title=%E3%84%8E%E3%84%A7%E3%84%A4&oldid=84668001#Chinese,
kou,kou,kʽou,ㄎㄡ,918.41,FALSE,,,,,
ku,ku,kʽu,ㄎㄨ,829.99,FALSE,,,,,
kua,kua,kʽua,ㄎㄨㄚ,110.55,FALSE,,,,,
kuai,kuai,kʽuai,ㄎㄨㄞ,1970.6,FALSE,,,,,
kuan,kuan,kʽuan,ㄎㄨㄢ,442.06,FALSE,,,,,
