hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
yong,yong,yung,ㄩㄥ,4750.43,FALSE,,,,,
you,you,yu,ㄧㄡ,11351.44,FALSE,,,,,
yu,yu,yü,ㄩ,10639.33,FALSE,,,,,
yuan,yuan,yüan,ㄩㄢ,11428.22,FALSE,,,,,
yue,yue,yüeh,ㄩㄝ,4434.27,FALSE,,,,,
yun,yun,yün,ㄩㄣ,1417.61,FALSE,,,,,
za,za,tsa,ㄗㄚ,337.07,FALSE,,,,,
zai,zai,tsai,ㄗㄞ,6088.03,FALSE,,,,,
zan,zan,tsan,ㄗㄢ,101.42,FALSE,,,,,
zang,zang,tsang,ㄗㄤ,175.5,FALSE,,,,,
zao,zao,tsao,ㄗㄠ,1293.46,FALSE,,,,,
ze,ze,tse,ㄗㄜ,1840.57,FALSE,,,,,
zei,zei,tsei,ㄗㄟ,5.77,FALSE,,,,,
zen,zen,tsen,ㄗㄣ,44.26,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E6%80%8E&oldid=88354558#Chinese,
zeng,zeng,tseng,ㄗㄥ,906.59,FALSE,,,,,
zha,jha,cha,ㄓㄚ,282.6,FALSE,,,,,
zhai,jhai,chai,ㄓㄞ,411.82,FALSE,,,,,
zhan,jhan,chan,ㄓㄢ,3653.67,FALSE,,,,,
zhang,jhang,chang,ㄓㄤ,4636.13,FALSE,,,,,
zhao,jhao,chao,ㄓㄠ,1772.56,FALSE,,,,,
zhe,jhe,che,ㄓㄜ,4856.04,FALSE,,,,,
zhei,jhei,,ㄓㄟ,0,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E9%80%99&oldid=88061941#Etymology_1,
zhen,jhen,chen,ㄓㄣ,2513.34,FALSE,,,,,
zheng,jheng,cheng,ㄓㄥ,6225.17,FALSE,,,,,
zhi,jhih,chih,ㄓ,17309.38,FALSE,,,,,
zhong,jhong,chung,ㄓㄨㄥ,10480.33,FALSE,,,,,
zhou,jhou,chou,ㄓㄡ,1219.69,FALSE,,,,,
zhu,jhu,chu,ㄓㄨ,6151.61,FALSE,,,,,
zhua,jhua,chua,ㄓㄨㄚ,47.55,FALSE,,,,,
zhuai,jhuai,chuai,ㄓㄨㄞ,0.46,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E6%8B%BD&oldid=87580985#Pronunciation_2,
zhuan,jhuan,chuan,ㄓㄨㄢ,2448.44,FALSE,,,,,
zhuang,jhuang,chuang,ㄓㄨㄤ,1171.97,FALSE,,,,,
zhui,jhuei,chui,ㄓㄨㄟ,194.58,FALSE,,,,,
zhun,jhun,chun,ㄓㄨㄣ,554.77,FALSE,,,,,
zhuo,jhuo,cho,ㄓㄨㄛ,264.24,FALSE,,,,,
zi,zih,tzu,ㄗ,11943.13,FALSE,,,,,
zong,zong,tsung,ㄗㄨㄥ,2276.89,FALSE,,,,,
zou,zou,tsou,ㄗㄡ,460.54,FALSE,,,,,
zu,zu,tsu,ㄗㄨ,1892.33,FALSE,,,,,
zuan,zuan,tsuan,ㄗㄨㄢ,59.41,FALSE,,,,,
pun,,,ㄆㄨㄣ,,TRUE,TRUE,TRUE,Taiwanese Mandarin,https://en.wiktionary.org/w/index.php?title=%E3%84%86%E3%84%A8%E3%84%A3&oldid=88075266#Chinese,
zui,zuei,tsui,ㄗㄨㄟ,1755.94,FALSE,,,,,
ong,,,,,TRUE,,,,https://en.wiktionary.org/w/index.php?title=%E5%94%B5&oldid=84918946#Etymology_2,
zun,zun,tsun,ㄗㄨㄣ,140.61,FALSE,,,,,
zuo,zuo,tso,ㄗㄨㄛ,4121.27,FALSE,,,,,
